t,date,sequences,n_haplos,n_mut_types
1,2022-01-01,248,233,804
2,2022-01-02,143,143,774
3,2022-01-03,1061,1011,3219
4,2022-01-04,583,567,1954
5,2022-01-05,791,749,2105
6,2022-01-06,529,506,1758
7,2022-01-07,494,476,1674
8,2022-01-08,205,201,2548
9,2022-01-09,154,154,1528
10,2022-01-10,1174,1138,2768
11,2022-01-11,1037,976,2170
12,2022-01-12,738,699,1528
13,2022-01-13,912,883,2072
14,2022-01-14,744,727,2547
15,2022-01-15,344,334,1112
16,2022-01-16,248,240,814
17,2022-01-17,1479,1415,2436
18,2022-01-18,1111,1067,1908
19,2022-01-19,1040,978,1861
20,2022-01-20,1015,985,1939
21,2022-01-21,1198,1171,2479
22,2022-01-22,291,287,1354
23,2022-01-23,186,182,604
24,2022-01-24,1708,1648,2493
25,2022-01-25,1336,1283,2121
26,2022-01-26,1271,1235,2105
27,2022-01-27,1237,1195,2118
28,2022-01-28,796,782,2028
29,2022-01-29,430,420,1237
30,2022-01-30,272,271,1114
31,2022-01-31,1388,1333,2132
32,2022-02-01,1209,1166,2082
33,2022-02-02,936,916,1760
34,2022-02-03,1440,1393,2576
35,2022-02-04,1475,1414,2982
36,2022-02-05,359,345,1267
37,2022-02-06,306,303,1291
38,2022-02-07,1574,1532,2652
39,2022-02-08,1454,1418,2486
40,2022-02-09,1866,1794,2864
41,2022-02-10,1255,1219,2269
42,2022-02-11,1480,1435,3833
43,2022-02-12,553,548,1780
44,2022-02-13,648,638,2228
45,2022-02-14,1658,1603,2809
46,2022-02-15,1965,1909,3211
47,2022-02-16,1189,1142,2252
48,2022-02-17,1415,1389,2663
49,2022-02-18,1112,1086,3160
50,2022-02-19,663,659,2533
51,2022-02-20,328,323,900
52,2022-02-21,1250,1212,2332
53,2022-02-22,1549,1481,2903
54,2022-02-23,1362,1320,2588
55,2022-02-24,1025,1008,2243
56,2022-02-25,813,793,2447
57,2022-02-26,615,606,2017
58,2022-02-27,360,344,1658
59,2022-02-28,809,790,1805
60,2022-03-01,1384,1351,2498
61,2022-03-02,2032,1960,3402
62,2022-03-03,1221,1199,2471
63,2022-03-04,1130,1102,2516
64,2022-03-05,1002,986,2572
65,2022-03-06,630,618,1552
66,2022-03-07,1341,1317,2688
67,2022-03-08,1266,1246,2559
68,2022-03-09,2112,2067,3484
69,2022-03-10,1091,1067,2184
70,2022-03-11,1006,982,2216
71,2022-03-12,677,669,2643
72,2022-03-13,821,805,2854
73,2022-03-14,1662,1606,2870
74,2022-03-15,1529,1491,2826
75,2022-03-16,1826,1788,3140
76,2022-03-17,1415,1393,2774
77,2022-03-18,1149,1111,2429
78,2022-03-19,665,650,2553
79,2022-03-20,418,403,2279
80,2022-03-21,1533,1501,2883
81,2022-03-22,1206,1180,2478
82,2022-03-23,1092,1079,2341
83,2022-03-24,1109,1094,2424
84,2022-03-25,744,735,1907
85,2022-03-26,646,618,2372
86,2022-03-27,498,490,1806
87,2022-03-28,1130,1109,2490
88,2022-03-29,1353,1329,2815
89,2022-03-30,1206,1178,2551
90,2022-03-31,937,924,2868
91,2022-04-01,859,855,3169
92,2022-04-02,477,466,1296
93,2022-04-03,465,458,1340
94,2022-04-04,1075,1051,2474
95,2022-04-05,1184,1156,2452
96,2022-04-06,1022,1008,2406
97,2022-04-07,983,965,3092
98,2022-04-08,533,530,1656
99,2022-04-09,615,598,2607
100,2022-04-10,425,419,1678
101,2022-04-11,1177,1141,2585
102,2022-04-12,1392,1361,3031
103,2022-04-13,1107,1082,2675
104,2022-04-14,592,590,1698
105,2022-04-15,844,831,2253
106,2022-04-16,584,577,2178
107,2022-04-17,434,431,2360
108,2022-04-18,443,431,1336
109,2022-04-19,1174,1148,2932
110,2022-04-20,922,914,2500
111,2022-04-21,1194,1181,3616
112,2022-04-22,819,798,2289
113,2022-04-23,745,732,2706
114,2022-04-24,608,601,2999
115,2022-04-25,953,942,2592
116,2022-04-26,940,934,2538
117,2022-04-27,800,792,2304
118,2022-04-28,782,772,2380
119,2022-04-29,766,756,3381
120,2022-04-30,497,490,2148
121,2022-05-01,182,180,853
122,2022-05-02,747,738,2260
123,2022-05-03,737,727,2286
124,2022-05-04,596,587,1854
125,2022-05-05,760,752,2311
126,2022-05-06,626,619,2560
127,2022-05-07,492,487,1893
128,2022-05-08,346,342,1327
129,2022-05-09,623,622,2007
130,2022-05-10,615,605,2121
131,2022-05-11,559,556,1926
132,2022-05-12,873,863,2703
133,2022-05-13,731,725,2860
134,2022-05-14,413,408,1674
135,2022-05-15,169,166,805
136,2022-05-16,651,650,2262
137,2022-05-17,626,615,2067
138,2022-05-18,525,521,1798
139,2022-05-19,736,731,2442
140,2022-05-20,473,468,2307
141,2022-05-21,236,236,1012
142,2022-05-22,172,172,827
143,2022-05-23,497,490,1738
144,2022-05-24,395,391,1471
145,2022-05-25,473,463,1590
146,2022-05-26,245,237,1043
147,2022-05-27,475,465,2037
148,2022-05-28,222,214,904
149,2022-05-29,140,135,577
150,2022-05-30,519,504,1669
151,2022-05-31,490,476,1573
152,2022-06-01,401,389,1402
153,2022-06-02,561,552,1732
154,2022-06-03,309,297,1125
155,2022-06-04,123,122,571
156,2022-06-05,194,186,771
157,2022-06-06,140,136,601
158,2022-06-07,677,655,1781
159,2022-06-08,481,451,1298
160,2022-06-09,774,732,1960
161,2022-06-10,396,392,1201
162,2022-06-11,352,345,1561
163,2022-06-12,201,194,992
164,2022-06-13,730,703,1705
165,2022-06-14,527,509,1384
166,2022-06-15,727,687,1601
167,2022-06-16,356,336,1086
168,2022-06-17,592,579,1506
169,2022-06-18,203,202,647
170,2022-06-19,154,153,548
171,2022-06-20,489,468,1351
172,2022-06-21,574,556,1444
173,2022-06-22,563,554,1442
174,2022-06-23,956,928,2019
175,2022-06-24,617,607,1606
176,2022-06-25,389,381,1080
177,2022-06-26,372,366,1005
178,2022-06-27,1179,1125,2161
179,2022-06-28,788,766,1805
180,2022-06-29,690,680,1652
181,2022-06-30,803,788,1775
